saldo_cuenta(millones),duracion_prestamo_meses,historial_crediticio,proposito,monto(millones),saldo_ahorros(millones),antiguedad_empleo,tasa_cuotas,estado_personal,otros_deudores,historial_residencia,propiedad,edad,plan_cuotas,vivienda,creditos_existentes,trabajo,dependientes,telefono,trabajador_extranjero,incumplimiento
desconocido,10,crítico,muebles,2069,desconocido,1 - 4 años,2,hombre casado,ninguno,1,otro,26,ninguno,propia,2,empleado calificado,1,ninguno,no,0
< 1M,6,pagado,muebles,1374,< 1M,1 - 4 años,1,hombre soltero,ninguno,2,bienes raíces,36,banco,propia,1,residente no calificado,1,sí,sí,0
desconocido,6,totalmente pagado,radio/televisión,426,< 1M,> 7 años,4,hombre casado,ninguno,4,otro,39,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
> 10M,12,totalmente pagado en este banco,radio/televisión,409,> 100M,1 - 4 años,3,mujer,ninguno,3,bienes raíces,42,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,0
1M - 10M,7,pagado,radio/televisión,2415,< 1M,1 - 4 años,3,hombre soltero,aval,2,bienes raíces,34,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,60,retrasado,negocios,6836,< 1M,> 7 años,3,hombre soltero,ninguno,4,desconocido/nada,63,ninguno,propia,2,empleado calificado,1,sí,sí,1
1M - 10M,18,pagado,negocios,1913,> 100M,0 - 1 año,3,hombre casado,ninguno,3,bienes raíces,36,banco,propia,1,empleado calificado,1,sí,sí,0
< 1M,24,pagado,muebles,4020,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,otro,27,tiendas,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,18,pagado,coche (nuevo),5866,1M - 10M,1 - 4 años,2,hombre soltero,ninguno,2,otro,30,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,12,crítico,negocios,1264,desconocido,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,57,ninguno,alquilada,1,residente no calificado,1,ninguno,sí,0
> 10M,12,pagado,muebles,1474,< 1M,0 - 1 año,4,mujer,ninguno,1,sociedad de ahorros y préstamos,33,banco,propia,1,autónomo gerente,1,sí,sí,0
1M - 10M,45,crítico,radio/televisión,4746,< 1M,0 - 1 año,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,25,ninguno,propia,2,residente no calificado,1,ninguno,sí,1
desconocido,48,crítico,educación,6110,< 1M,1 - 4 años,1,hombre soltero,ninguno,3,desconocido/nada,31,banco,gratuita,1,empleado calificado,1,sí,sí,0
> 10M,18,pagado,radio/televisión,2100,< 1M,1 - 4 años,4,hombre soltero,co-solicitante,2,bienes raíces,37,tiendas,propia,1,empleado calificado,1,ninguno,sí,1
> 10M,10,pagado,electrodomésticos domésticos,1225,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,otro,37,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,9,pagado,radio/televisión,458,< 1M,1 - 4 años,4,hombre soltero,ninguno,3,bienes raíces,24,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,30,pagado,radio/televisión,2333,10M - 100M,> 7 años,4,hombre soltero,ninguno,2,otro,30,banco,propia,1,autónomo gerente,1,ninguno,sí,0
1M - 10M,12,pagado,radio/televisión,1158,10M - 100M,1 - 4 años,3,hombre divorciado,ninguno,1,otro,26,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,18,retrasado,reparaciones,6204,< 1M,1 - 4 años,2,hombre soltero,ninguno,4,bienes raíces,44,ninguno,propia,1,residente no calificado,2,sí,sí,0
< 1M,30,crítico,coche (usado),6187,1M - 10M,4 - 7 años,1,hombre casado,ninguno,4,otro,24,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,0
< 1M,48,crítico,coche (usado),6143,< 1M,> 7 años,4,mujer,ninguno,4,desconocido/nada,58,tiendas,gratuita,2,residente no calificado,1,ninguno,sí,1
desconocido,11,crítico,coche (nuevo),1393,< 1M,0 - 1 año,4,mujer,ninguno,4,otro,35,ninguno,propia,2,autónomo gerente,1,ninguno,sí,0
desconocido,36,pagado,radio/televisión,2299,10M - 100M,> 7 años,4,hombre soltero,ninguno,4,otro,39,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,6,pagado,coche (usado),1352,10M - 100M,desempleado,1,mujer,ninguno,2,sociedad de ahorros y préstamos,23,ninguno,alquilada,1,desempleado no residente,1,sí,sí,0
desconocido,11,crítico,coche (nuevo),7228,< 1M,1 - 4 años,1,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,39,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
desconocido,12,pagado,radio/televisión,2073,1M - 10M,1 - 4 años,4,mujer,co-solicitante,2,bienes raíces,28,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,24,retrasado,muebles,2333,desconocido,0 - 1 año,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,29,banco,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,27,retrasado,coche (usado),5965,< 1M,> 7 años,1,hombre soltero,ninguno,2,otro,30,ninguno,propia,2,autónomo gerente,1,sí,sí,0
desconocido,12,pagado,radio/televisión,1262,< 1M,1 - 4 años,3,hombre soltero,ninguno,2,otro,25,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,18,pagado,coche (usado),3378,desconocido,1 - 4 años,2,hombre soltero,ninguno,1,sociedad de ahorros y préstamos,31,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,36,retrasado,coche (nuevo),2225,< 1M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,57,banco,gratuita,2,empleado calificado,1,sí,sí,1
desconocido,6,totalmente pagado en este banco,coche (nuevo),783,desconocido,1 - 4 años,1,hombre soltero,aval,2,bienes raíces,26,tiendas,propia,1,residente no calificado,2,ninguno,sí,0
1M - 10M,12,pagado,radio/televisión,6468,desconocido,desempleado,2,hombre soltero,ninguno,1,desconocido/nada,52,ninguno,propia,1,autónomo gerente,1,sí,sí,1
desconocido,36,crítico,radio/televisión,9566,< 1M,1 - 4 años,2,mujer,ninguno,2,otro,31,tiendas,propia,2,empleado calificado,1,ninguno,sí,0
> 10M,18,pagado,coche (nuevo),1961,< 1M,> 7 años,3,mujer,ninguno,2,otro,23,ninguno,propia,1,autónomo gerente,1,ninguno,sí,0
< 1M,36,crítico,muebles,6229,< 1M,0 - 1 año,4,mujer,co-solicitante,4,desconocido/nada,23,ninguno,alquilada,2,residente no calificado,1,sí,sí,1
1M - 10M,9,pagado,negocios,1391,< 1M,1 - 4 años,2,hombre casado,ninguno,1,bienes raíces,27,banco,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,15,crítico,radio/televisión,1537,desconocido,> 7 años,4,hombre soltero,aval,4,bienes raíces,50,ninguno,propia,2,empleado calificado,1,sí,sí,0
1M - 10M,36,totalmente pagado,negocios,1953,< 1M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,61,ninguno,gratuita,1,autónomo gerente,1,sí,sí,1
1M - 10M,48,totalmente pagado,negocios,14421,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,otro,25,ninguno,propia,1,empleado calificado,1,sí,sí,1
desconocido,24,pagado,radio/televisión,3181,< 1M,0 - 1 año,4,mujer,ninguno,4,sociedad de ahorros y préstamos,26,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,27,pagado,reparaciones,5190,desconocido,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,48,ninguno,propia,4,empleado calificado,2,sí,sí,0
desconocido,12,pagado,radio/televisión,2171,< 1M,0 - 1 año,2,mujer,ninguno,2,otro,29,banco,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,12,pagado,coche (nuevo),1007,> 100M,1 - 4 años,4,hombre casado,ninguno,1,bienes raíces,22,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,36,pagado,educación,1819,< 1M,1 - 4 años,4,hombre soltero,ninguno,4,desconocido/nada,37,tiendas,gratuita,1,empleado calificado,1,sí,sí,1
desconocido,36,pagado,radio/televisión,2394,desconocido,1 - 4 años,4,mujer,ninguno,4,otro,25,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,36,pagado,coche (usado),8133,< 1M,1 - 4 años,1,mujer,ninguno,2,sociedad de ahorros y préstamos,30,banco,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,7,crítico,radio/televisión,730,desconocido,> 7 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,46,ninguno,alquilada,2,residente no calificado,1,sí,sí,0
< 1M,8,crítico,otros,1164,< 1M,> 7 años,3,hombre soltero,ninguno,4,desconocido/nada,51,banco,gratuita,2,autónomo gerente,2,sí,sí,0
1M - 10M,42,crítico,negocios,5954,< 1M,4 - 7 años,2,mujer,ninguno,1,bienes raíces,41,banco,propia,2,residente no calificado,1,ninguno,sí,0
< 1M,36,pagado,educación,1977,desconocido,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,40,ninguno,propia,1,autónomo gerente,1,sí,sí,1
< 1M,12,crítico,coche (usado),1526,< 1M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,66,ninguno,gratuita,2,autónomo gerente,1,ninguno,sí,0
< 1M,42,pagado,radio/televisión,3965,< 1M,0 - 1 año,4,hombre soltero,ninguno,3,otro,34,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,11,retrasado,radio/televisión,4771,< 1M,4 - 7 años,2,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,51,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,54,totalmente pagado,coche (usado),9436,desconocido,1 - 4 años,2,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,39,ninguno,propia,1,residente no calificado,2,ninguno,sí,0
1M - 10M,30,pagado,muebles,3832,< 1M,0 - 1 año,2,hombre casado,ninguno,1,sociedad de ahorros y préstamos,22,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,24,pagado,radio/televisión,5943,desconocido,0 - 1 año,1,mujer,ninguno,1,otro,44,ninguno,propia,2,empleado calificado,1,sí,sí,1
desconocido,15,pagado,radio/televisión,1213,10M - 100M,> 7 años,4,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,47,tiendas,propia,1,empleado calificado,1,sí,sí,0
desconocido,18,pagado,negocios,1568,1M - 10M,1 - 4 años,3,mujer,ninguno,4,sociedad de ahorros y préstamos,24,ninguno,alquilada,1,residente no calificado,1,ninguno,sí,0
< 1M,24,pagado,otros,1755,< 1M,> 7 años,4,mujer,aval,4,bienes raíces,58,ninguno,propia,1,residente no calificado,1,sí,sí,0
< 1M,10,pagado,radio/televisión,2315,< 1M,> 7 años,3,hombre soltero,ninguno,4,bienes raíces,52,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
desconocido,12,crítico,negocios,1412,< 1M,1 - 4 años,4,mujer,aval,2,bienes raíces,29,ninguno,propia,2,autónomo gerente,1,sí,sí,0
1M - 10M,18,crítico,muebles,1295,< 1M,0 - 1 año,4,mujer,ninguno,1,sociedad de ahorros y préstamos,27,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,36,pagado,educación,12612,1M - 10M,1 - 4 años,1,hombre soltero,ninguno,4,desconocido/nada,47,ninguno,gratuita,1,empleado calificado,2,sí,sí,1
< 1M,18,pagado,coche (nuevo),2249,1M - 10M,4 - 7 años,4,hombre soltero,ninguno,3,otro,30,ninguno,propia,1,autónomo gerente,2,sí,sí,0
< 1M,12,totalmente pagado,reparaciones,1108,< 1M,4 - 7 años,4,hombre soltero,ninguno,3,bienes raíces,28,ninguno,propia,2,empleado calificado,1,ninguno,sí,1
desconocido,12,crítico,radio/televisión,618,< 1M,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,56,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,12,crítico,coche (usado),1409,< 1M,> 7 años,4,hombre soltero,ninguno,3,bienes raíces,54,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,12,crítico,radio/televisión,797,desconocido,> 7 años,4,mujer,ninguno,3,sociedad de ahorros y préstamos,33,banco,propia,1,residente no calificado,2,ninguno,sí,1
> 10M,24,crítico,muebles,3617,desconocido,> 7 años,4,hombre soltero,co-solicitante,4,desconocido/nada,20,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,0
1M - 10M,12,pagado,coche (nuevo),1318,> 100M,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,54,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,54,totalmente pagado,negocios,15945,< 1M,0 - 1 año,3,hombre soltero,ninguno,4,desconocido/nada,58,ninguno,alquilada,1,empleado calificado,1,sí,sí,1
desconocido,12,crítico,educación,2012,desconocido,4 - 7 años,4,mujer,ninguno,2,otro,61,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,18,pagado,negocios,2622,1M - 10M,1 - 4 años,4,hombre soltero,ninguno,4,otro,34,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,36,crítico,radio/televisión,2337,< 1M,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,36,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,20,retrasado,coche (usado),7057,desconocido,4 - 7 años,3,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,36,banco,alquilada,2,autónomo gerente,2,sí,sí,0
desconocido,24,pagado,coche (nuevo),1469,1M - 10M,> 7 años,4,hombre casado,ninguno,4,bienes raíces,41,ninguno,alquilada,1,residente no calificado,1,ninguno,sí,0
1M - 10M,36,pagado,radio/televisión,2323,< 1M,4 - 7 años,4,hombre soltero,ninguno,4,otro,24,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
desconocido,6,retrasado,radio/televisión,932,< 1M,1 - 4 años,3,mujer,ninguno,2,bienes raíces,24,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,9,crítico,muebles,1919,< 1M,4 - 7 años,4,hombre soltero,ninguno,3,otro,35,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
desconocido,12,pagado,coche (usado),2445,desconocido,0 - 1 año,2,hombre casado,ninguno,4,otro,26,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
1M - 10M,24,crítico,otros,11938,< 1M,1 - 4 años,2,hombre soltero,co-solicitante,3,otro,39,ninguno,propia,2,autónomo gerente,2,sí,sí,1
desconocido,18,totalmente pagado en este banco,coche (nuevo),6458,< 1M,> 7 años,2,hombre soltero,ninguno,4,desconocido/nada,39,banco,propia,2,autónomo gerente,2,sí,sí,1
1M - 10M,12,pagado,coche (nuevo),6078,< 1M,4 - 7 años,2,hombre soltero,ninguno,2,otro,32,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,24,pagado,muebles,7721,desconocido,0 - 1 año,1,mujer,ninguno,2,sociedad de ahorros y préstamos,30,ninguno,propia,1,empleado calificado,1,sí,no,0
1M - 10M,14,pagado,negocios,1410,10M - 100M,> 7 años,1,hombre casado,ninguno,2,bienes raíces,35,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,6,retrasado,negocios,1449,1M - 10M,> 7 años,1,hombre divorciado,ninguno,2,otro,31,banco,propia,2,empleado calificado,2,ninguno,sí,0
> 10M,15,pagado,educación,392,< 1M,0 - 1 año,4,mujer,ninguno,4,sociedad de ahorros y préstamos,23,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
1M - 10M,18,pagado,coche (nuevo),6260,< 1M,4 - 7 años,3,hombre soltero,ninguno,3,bienes raíces,28,ninguno,alquilada,1,residente no calificado,1,ninguno,sí,0
desconocido,36,crítico,coche (nuevo),7855,< 1M,1 - 4 años,4,mujer,ninguno,2,bienes raíces,25,tiendas,propia,2,empleado calificado,1,sí,sí,1
< 1M,12,pagado,radio/televisión,1680,10M - 100M,> 7 años,3,hombre casado,ninguno,1,bienes raíces,35,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,48,crítico,radio/televisión,3578,desconocido,> 7 años,4,hombre soltero,ninguno,1,bienes raíces,47,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,42,pagado,radio/televisión,7174,desconocido,4 - 7 años,4,mujer,ninguno,3,otro,30,ninguno,propia,1,autónomo gerente,1,sí,sí,1
< 1M,10,crítico,muebles,2132,desconocido,0 - 1 año,2,mujer,co-solicitante,3,bienes raíces,27,ninguno,alquilada,2,empleado calificado,1,ninguno,no,0
< 1M,33,crítico,muebles,4281,10M - 100M,1 - 4 años,1,mujer,ninguno,4,otro,23,ninguno,propia,2,empleado calificado,1,ninguno,sí,1
1M - 10M,12,crítico,coche (nuevo),2366,10M - 100M,4 - 7 años,3,hombre divorciado,ninguno,3,otro,36,ninguno,propia,1,autónomo gerente,1,sí,sí,0
< 1M,21,pagado,radio/televisión,1835,< 1M,1 - 4 años,3,mujer,ninguno,2,bienes raíces,25,ninguno,propia,2,empleado calificado,1,sí,sí,1
desconocido,24,crítico,coche (usado),3868,< 1M,> 7 años,4,mujer,ninguno,2,otro,41,ninguno,alquilada,2,autónomo gerente,1,sí,sí,0
desconocido,12,pagado,muebles,1768,< 1M,1 - 4 años,3,hombre soltero,ninguno,2,bienes raíces,24,ninguno,alquilada,1,residente no calificado,1,ninguno,sí,0
> 10M,10,crítico,coche (nuevo),781,< 1M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,63,ninguno,gratuita,2,empleado calificado,1,sí,sí,0
1M - 10M,18,pagado,muebles,1924,desconocido,0 - 1 año,4,mujer,ninguno,3,bienes raíces,27,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
< 1M,12,crítico,coche (nuevo),2121,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,30,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
< 1M,12,pagado,radio/televisión,701,< 1M,1 - 4 años,4,hombre casado,ninguno,2,bienes raíces,40,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,12,pagado,reparaciones,639,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,otro,30,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,12,crítico,coche (usado),1860,< 1M,desempleado,4,hombre soltero,ninguno,2,otro,34,ninguno,propia,2,autónomo gerente,1,sí,sí,0
< 1M,12,crítico,coche (nuevo),3499,< 1M,1 - 4 años,3,mujer,co-solicitante,2,bienes raíces,29,ninguno,propia,2,empleado calificado,1,ninguno,sí,1
1M - 10M,48,pagado,coche (nuevo),8487,desconocido,4 - 7 años,1,mujer,ninguno,2,otro,24,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,36,retrasado,educación,6887,< 1M,1 - 4 años,4,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,29,tiendas,propia,1,empleado calificado,1,sí,sí,1
desconocido,15,pagado,muebles,2708,< 1M,0 - 1 año,2,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,27,banco,propia,2,residente no calificado,1,ninguno,sí,0
desconocido,18,pagado,muebles,1984,< 1M,1 - 4 años,4,hombre soltero,ninguno,4,desconocido/nada,47,banco,gratuita,2,empleado calificado,1,ninguno,sí,0
desconocido,60,pagado,radio/televisión,10144,1M - 10M,4 - 7 años,2,mujer,ninguno,4,bienes raíces,21,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,12,crítico,radio/televisión,1240,desconocido,> 7 años,4,mujer,ninguno,2,bienes raíces,38,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,27,retrasado,coche (usado),8613,> 100M,1 - 4 años,2,hombre soltero,ninguno,2,otro,27,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,12,pagado,radio/televisión,766,10M - 100M,1 - 4 años,4,hombre soltero,ninguno,3,bienes raíces,66,ninguno,propia,1,residente no calificado,1,ninguno,sí,1
1M - 10M,15,crítico,radio/televisión,2728,desconocido,4 - 7 años,4,hombre soltero,aval,2,bienes raíces,35,banco,propia,3,empleado calificado,1,sí,sí,0
> 10M,12,pagado,radio/televisión,1881,< 1M,1 - 4 años,2,mujer,ninguno,2,otro,44,ninguno,alquilada,1,residente no calificado,1,sí,sí,0
> 10M,6,pagado,coche (nuevo),709,> 100M,0 - 1 año,2,hombre casado,ninguno,2,bienes raíces,27,ninguno,propia,1,desempleado no residente,1,ninguno,no,0
1M - 10M,36,pagado,radio/televisión,4795,< 1M,0 - 1 año,4,mujer,ninguno,1,desconocido/nada,30,ninguno,propia,1,autónomo gerente,1,sí,sí,0
< 1M,27,pagado,radio/televisión,3416,< 1M,1 - 4 años,3,hombre soltero,ninguno,2,otro,27,ninguno,propia,1,autónomo gerente,1,ninguno,sí,0
< 1M,18,pagado,muebles,2462,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,otro,22,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,21,crítico,muebles,2288,< 1M,0 - 1 año,4,mujer,ninguno,4,sociedad de ahorros y préstamos,23,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,48,totalmente pagado en este banco,negocios,3566,1M - 10M,4 - 7 años,4,hombre soltero,ninguno,2,otro,30,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,6,crítico,coche (nuevo),860,< 1M,> 7 años,1,mujer,ninguno,4,desconocido/nada,39,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,12,crítico,coche (nuevo),682,1M - 10M,4 - 7 años,4,mujer,ninguno,3,otro,51,ninguno,propia,2,empleado calificado,1,sí,sí,0
< 1M,36,crítico,muebles,5371,< 1M,1 - 4 años,3,hombre soltero,aval,2,sociedad de ahorros y préstamos,28,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,18,crítico,radio/televisión,1582,> 100M,> 7 años,4,hombre soltero,ninguno,4,otro,46,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,6,pagado,radio/televisión,1346,1M - 10M,> 7 años,2,hombre soltero,ninguno,4,desconocido/nada,42,banco,gratuita,1,empleado calificado,2,sí,sí,0
desconocido,10,pagado,radio/televisión,1924,< 1M,1 - 4 años,1,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,38,ninguno,propia,1,empleado calificado,1,sí,no,0
> 10M,36,pagado,radio/televisión,5848,< 1M,1 - 4 años,4,hombre soltero,ninguno,1,otro,24,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,24,crítico,coche (usado),7758,> 100M,> 7 años,2,mujer,ninguno,4,desconocido/nada,29,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
1M - 10M,24,retrasado,negocios,6967,1M - 10M,4 - 7 años,4,hombre soltero,ninguno,4,otro,36,ninguno,alquilada,1,autónomo gerente,1,sí,sí,0
< 1M,12,pagado,muebles,1282,< 1M,1 - 4 años,2,mujer,ninguno,4,otro,20,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
< 1M,9,crítico,reparaciones,1288,1M - 10M,> 7 años,3,hombre soltero,aval,4,bienes raíces,48,ninguno,propia,2,empleado calificado,2,ninguno,no,0
< 1M,12,totalmente pagado en este banco,reentrenamiento,339,< 1M,> 7 años,4,hombre casado,ninguno,1,otro,45,banco,propia,1,residente no calificado,1,ninguno,sí,0
